pm2.5,year,month,day,hour,dew_point,temperature,pressure,wind_direction,wind_speed,snow_hours,rain_hours
NA,2010,1,1,0,-21,-11,1021,NW,1.79,0,0
NA,2010,1,1,1,-21,-12,1020,NW,4.92,0,0
NA,2010,1,1,2,-21,-11,1019,NW,6.71,0,0
NA,2010,1,1,3,-21,-14,1019,NW,9.84,0,0
NA,2010,1,1,4,-20,-12,1018,NW,12.97,0,0
NA,2010,1,1,5,-19,-10,1017,NW,16.1,0,0
NA,2010,1,1,6,-19,-9,1017,NW,19.23,0,0
NA,2010,1,1,7,-19,-9,1017,NW,21.02,0,0
NA,2010,1,1,8,-19,-9,1017,NW,24.15,0,0
NA,2010,1,1,9,-20,-8,1017,NW,27.28,0,0
NA,2010,1,1,10,-19,-7,1017,NW,31.3,0,0
NA,2010,1,1,11,-18,-5,1017,NW,34.43,0,0
NA,2010,1,1,12,-19,-5,1015,NW,37.56,0,0
NA,2010,1,1,13,-18,-3,1015,NW,40.69,0,0
NA,2010,1,1,14,-18,-2,1014,NW,43.82,0,0
NA,2010,1,1,15,-18,-1,1014,cv,0.89,0,0
NA,2010,1,1,16,-19,-2,1015,NW,1.79,0,0
NA,2010,1,1,17,-18,-3,1015,NW,2.68,0,0
NA,2010,1,1,18,-18,-5,1016,NE,1.79,0,0
NA,2010,1,1,19,-17,-4,1017,NW,1.79,0,0
NA,2010,1,1,20,-17,-5,1017,cv,0.89,0,0
NA,2010,1,1,21,-17,-5,1018,NW,1.79,0,0
NA,2010,1,1,22,-17,-5,1018,NW,2.68,0,0
NA,2010,1,1,23,-17,-5,1020,cv,0.89,0,0
129,2010,1,2,0,-16,-4,1020,SE,1.79,0,0
148,2010,1,2,1,-15,-4,1020,SE,2.68,0,0
159,2010,1,2,2,-11,-5,1021,SE,3.57,0,0
181,2010,1,2,3,-7,-5,1022,SE,5.36,1,0
138,2010,1,2,4,-7,-5,1022,SE,6.25,2,0
109,2010,1,2,5,-7,-6,1022,SE,7.14,3,0
105,2010,1,2,6,-7,-6,1023,SE,8.93,4,0
124,2010,1,2,7,-7,-5,1024,SE,10.72,0,0
120,2010,1,2,8,-8,-6,1024,SE,12.51,0,0
132,2010,1,2,9,-7,-5,1025,SE,14.3,0,0
140,2010,1,2,10,-7,-5,1026,SE,17.43,1,0
152,2010,1,2,11,-8,-5,1026,SE,20.56,0,0
148,2010,1,2,12,-8,-5,1026,SE,23.69,0,0
164,2010,1,2,13,-8,-5,1025,SE,27.71,0,0
158,2010,1,2,14,-9,-5,1025,SE,31.73,0,0
154,2010,1,2,15,-9,-5,1025,SE,35.75,0,0
159,2010,1,2,16,-9,-5,1026,SE,37.54,0,0
164,2010,1,2,17,-8,-5,1027,SE,39.33,0,0
170,2010,1,2,18,-8,-5,1027,SE,42.46,0,0
149,2010,1,2,19,-8,-5,1028,SE,44.25,0,0
154,2010,1,2,20,-7,-5,1028,SE,46.04,0,0
164,2010,1,2,21,-7,-5,1027,SE,49.17,1,0
156,2010,1,2,22,-8,-6,1028,SE,52.3,2,0
126,2010,1,2,23,-8,-6,1027,SE,55.43,3,0
90,2010,1,3,0,-7,-6,1027,SE,58.56,4,0
63,2010,1,3,1,-8,-6,1026,SE,61.69,5,0
65,2010,1,3,2,-8,-7,1026,SE,65.71,6,0
55,2010,1,3,3,-8,-7,1025,SE,68.84,7,0
65,2010,1,3,4,-8,-7,1024,SE,72.86,8,0
83,2010,1,3,5,-9,-8,1024,SE,76.88,9,0
91,2010,1,3,6,-10,-8,1024,SE,80.9,10,0
86,2010,1,3,7,-10,-9,1024,SE,84.92,11,0
82,2010,1,3,8,-10,-9,1024,SE,89.84,12,0
86,2010,1,3,9,-11,-9,1023,SE,93.86,13,0
78,2010,1,3,10,-11,-9,1023,SE,97.88,15,0
98,2010,1,3,11,-11,-9,1022,SE,102.8,16,0
107,2010,1,3,12,-11,-9,1021,SE,105.93,17,0
90,2010,1,3,13,-11,-9,1020,SE,111.74,19,0
96,2010,1,3,14,-11,-9,1020,SE,116.66,20,0
95,2010,1,3,15,-11,-9,1020,SE,121.58,21,0
86,2010,1,3,16,-11,-9,1020,SE,124.71,22,0
70,2010,1,3,17,-11,-9,1020,SE,127.84,23,0
61,2010,1,3,18,-11,-9,1021,cv,0.89,24,0
53,2010,1,3,19,-11,-9,1022,cv,1.78,25,0
71,2010,1,3,20,-10,-9,1022,NW,4.02,26,0
72,2010,1,3,21,-11,-10,1023,NW,7.15,27,0
76,2010,1,3,22,-11,-9,1023,NW,11.17,0,0
73,2010,1,3,23,-12,-11,1023,NW,14.3,0,0
79,2010,1,4,0,-14,-12,1023,NW,16.09,0,0
58,2010,1,4,1,-16,-9,1023,NW,21.9,0,0
25,2010,1,4,2,-17,-10,1024,NW,29.95,0,0
26,2010,1,4,3,-18,-11,1024,NW,39.78,0,0
28,2010,1,4,4,-19,-11,1025,NW,48.72,0,0
26,2010,1,4,5,-20,-12,1026,NW,55.87,0,0
20,2010,1,4,6,-21,-12,1027,NW,64.81,0,0
29,2010,1,4,7,-21,-13,1027,NW,73.75,0,0
26,2010,1,4,8,-22,-13,1028,NW,80.9,0,0
27,2010,1,4,9,-22,-13,1029,NW,90.73,0,0
27,2010,1,4,10,-22,-12,1030,NW,100.56,0,0
25,2010,1,4,11,-23,-12,1031,NW,108.61,0,0
29,2010,1,4,12,-21,-11,1030,NW,117.55,0,0
32,2010,1,4,13,-20,-10,1030,NW,127.38,0,0
28,2010,1,4,14,-21,-10,1030,NW,136.32,0,0
29,2010,1,4,15,-21,-9,1030,NW,145.26,0,0
30,2010,1,4,16,-21,-9,1031,NW,152.41,0,0
30,2010,1,4,17,-20,-11,1032,NW,159.56,0,0
28,2010,1,4,18,-23,-11,1032,NW,165.37,0,0
26,2010,1,4,19,-21,-12,1033,NW,171.18,0,0
31,2010,1,4,20,-24,-12,1034,NW,180.12,0,0
33,2010,1,4,21,-24,-13,1034,NW,187.27,0,0
29,2010,1,4,22,-24,-13,1035,NW,195.32,0,0
31,2010,1,4,23,-26,-15,1035,NW,198.45,0,0
30,2010,1,5,0,-26,-17,1035,NW,201.58,0,0
34,2010,1,5,1,-26,-18,1035,NW,205.6,0,0
27,2010,1,5,2,-26,-19,1035,NW,208.73,0,0
25,2010,1,5,3,-27,-18,1035,NW,213.65,0,0
28,2010,1,5,4,-27,-19,1035,NW,218.57,0,0
28,2010,1,5,5,-27,-16,1034,NE,4.92,0,0
27,2010,1,5,6,-26,-16,1035,NE,8.05,0,0
27,2010,1,5,7,-27,-16,1034,NE,13.86,0,0
27,2010,1,5,8,-26,-16,1035,NE,18.78,0,0
29,2010,1,5,9,-26,-15,1035,NE,24.59,0,0
36,2010,1,5,10,-25,-14,1035,NE,29.51,0,0
30,2010,1,5,11,-25,-13,1035,NE,34.43,0,0
27,2010,1,5,12,-25,-12,1034,NE,39.35,0,0
39,2010,1,5,13,-24,-11,1032,NE,41.14,0,0
41,2010,1,5,14,-22,-11,1032,cv,0.89,0,0
33,2010,1,5,15,-23,-11,1031,NW,1.79,0,0
50,2010,1,5,16,-24,-11,1031,NW,3.58,0,0
56,2010,1,5,17,-23,-11,1031,NW,5.37,0,0
59,2010,1,5,18,-23,-11,1032,NW,7.16,0,0
60,2010,1,5,19,-22,-13,1033,NW,10.29,0,0
84,2010,1,5,20,-22,-12,1033,NW,13.42,0,0
106,2010,1,5,21,-24,-18,1033,NW,16.55,0,0
66,2010,1,5,22,-22,-13,1034,NW,20.57,0,0
50,2010,1,5,23,-22,-16,1033,NW,23.7,0,0
56,2010,1,6,0,-25,-17,1033,NW,26.83,0,0
77,2010,1,6,1,-25,-14,1033,NE,4.02,0,0
50,2010,1,6,2,-26,-14,1034,NE,8.04,0,0
44,2010,1,6,3,-26,-14,1033,NE,13.85,0,0
27,2010,1,6,4,-26,-14,1033,NE,17.87,0,0
28,2010,1,6,5,-26,-14,1033,NE,23.68,0,0
